epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,7374.54,0.83971,0.62186,1.30855,0.88839,0.87107,0.92003,0.66484,0.96237,0.56908,1.35783,0.00107205,0.00107205,0.00107205
125,7433.96,0.85373,0.64088,1.31466,0.94031,0.84218,0.91484,0.67233,0.92592,0.58663,1.35656,0.00106374,0.00106374,0.00106374
126,7493.27,0.84419,0.63428,1.31951,0.90033,0.83962,0.89825,0.68067,0.88756,0.60101,1.31923,0.0010554,0.0010554,0.0010554
127,7552.68,0.84436,0.64295,1.32197,0.93602,0.8281,0.90405,0.67481,0.89463,0.55518,1.34455,0.00104705,0.00104705,0.00104705
128,7612,0.82209,0.59737,1.29627,0.92852,0.85781,0.90255,0.68108,0.87803,0.54821,1.33365,0.00103866,0.00103866,0.00103866
129,7671.4,0.83329,0.61217,1.30497,0.9304,0.81761,0.90858,0.67586,0.90967,0.56607,1.34864,0.00103026,0.00103026,0.00103026
130,7730.74,0.85138,0.63908,1.32381,0.91076,0.84591,0.91069,0.68843,0.88283,0.57182,1.30895,0.00102184,0.00102184,0.00102184
131,7790.25,0.84323,0.628,1.31094,0.92165,0.84591,0.89196,0.67366,0.91402,0.59318,1.33335,0.0010134,0.0010134,0.0010134
132,7849.68,0.84047,0.61764,1.30553,0.91685,0.83214,0.88238,0.66293,0.92014,0.60135,1.35797,0.00100493,0.00100493,0.00100493
133,7909.04,0.8316,0.61466,1.30242,0.89161,0.87953,0.9036,0.68305,0.88084,0.54778,1.33631,0.000996456,0.000996456,0.000996456
134,7968.33,0.83208,0.60637,1.31035,0.90237,0.87421,0.89885,0.66969,0.90834,0.55975,1.32956,0.000987959,0.000987959,0.000987959
135,8027.69,0.82934,0.6108,1.29894,0.94443,0.83333,0.90446,0.68773,0.89094,0.58072,1.35406,0.000979447,0.000979447,0.000979447
136,8087.08,0.83132,0.61295,1.30567,0.92528,0.86478,0.91442,0.68827,0.85106,0.53845,1.29666,0.000970919,0.000970919,0.000970919
137,8146.55,0.81636,0.6011,1.29593,0.91013,0.89169,0.90918,0.68311,0.89064,0.55276,1.35277,0.000962378,0.000962378,0.000962378
138,8205.97,0.82598,0.5939,1.29641,0.92711,0.86478,0.90975,0.68542,0.87216,0.55403,1.33038,0.000953823,0.000953823,0.000953823
139,8265.3,0.82497,0.5992,1.30209,0.92358,0.87408,0.9144,0.68648,0.86216,0.54516,1.34633,0.000945256,0.000945256,0.000945256
140,8324.77,0.79827,0.58954,1.27461,0.91661,0.84277,0.91734,0.6907,0.90192,0.56462,1.37625,0.000936677,0.000936677,0.000936677
141,8384.29,0.81321,0.60564,1.28204,0.93622,0.86792,0.9191,0.6875,0.89358,0.52831,1.33766,0.000928088,0.000928088,0.000928088
142,8443.82,0.82833,0.59902,1.29768,0.89971,0.88679,0.92107,0.69203,0.8669,0.53225,1.31656,0.00091949,0.00091949,0.00091949
143,8503.38,0.8026,0.59932,1.27984,0.9229,0.8805,0.91642,0.69409,0.88935,0.54748,1.36178,0.000910883,0.000910883,0.000910883
144,8563.05,0.80018,0.57857,1.28222,0.91445,0.84035,0.90094,0.68203,0.86457,0.57539,1.33547,0.000902269,0.000902269,0.000902269
145,8622.44,0.80043,0.58731,1.27753,0.91047,0.81761,0.89449,0.67004,0.89781,0.60608,1.40244,0.000893648,0.000893648,0.000893648
146,8681.83,0.77833,0.57419,1.26614,0.92284,0.86164,0.90747,0.68879,0.86465,0.53744,1.35133,0.000885021,0.000885021,0.000885021
147,8741.21,0.82019,0.59778,1.29341,0.88767,0.86478,0.90567,0.67742,0.87304,0.54173,1.32984,0.000876389,0.000876389,0.000876389
148,8800.74,0.80508,0.58798,1.28147,0.91264,0.8541,0.90828,0.69108,0.86625,0.55724,1.32918,0.000867754,0.000867754,0.000867754
149,8860.17,0.78932,0.5756,1.27257,0.90976,0.84591,0.89818,0.68887,0.85855,0.57226,1.32673,0.000859116,0.000859116,0.000859116
150,8919.72,0.78678,0.58534,1.27406,0.90056,0.84906,0.89072,0.67661,0.86842,0.57327,1.36077,0.000850476,0.000850476,0.000850476
151,8979.16,0.79957,0.58377,1.27638,0.89604,0.85535,0.90635,0.67697,0.91347,0.5852,1.36114,0.000841835,0.000841835,0.000841835
152,9038.62,0.80893,0.59717,1.28243,0.87291,0.87736,0.90809,0.6781,0.89444,0.54108,1.37912,0.000833194,0.000833194,0.000833194
153,9097.96,0.8028,0.58401,1.28783,0.92592,0.82535,0.89872,0.67652,0.90142,0.56592,1.37058,0.000824554,0.000824554,0.000824554
154,9157.27,0.79109,0.56291,1.27152,0.90188,0.86478,0.91094,0.69223,0.87631,0.53079,1.34633,0.000815916,0.000815916,0.000815916
155,9216.61,0.80116,0.5711,1.28141,0.91334,0.8617,0.91582,0.68967,0.88068,0.51381,1.34364,0.000807281,0.000807281,0.000807281
156,9275.99,0.7845,0.56631,1.27257,0.91094,0.85849,0.90773,0.69216,0.86012,0.52892,1.32559,0.000798649,0.000798649,0.000798649
157,9335.44,0.80367,0.59569,1.2854,0.92999,0.83544,0.90888,0.68646,0.86606,0.55446,1.30007,0.000790022,0.000790022,0.000790022
158,9394.88,0.78248,0.55858,1.26802,0.91705,0.83962,0.8996,0.67523,0.87676,0.57994,1.33244,0.000781401,0.000781401,0.000781401
159,9454.29,0.77195,0.55912,1.25608,0.93391,0.80818,0.8988,0.6787,0.86949,0.54352,1.32654,0.000772787,0.000772787,0.000772787
160,9513.57,0.76705,0.55309,1.24983,0.87065,0.8522,0.89855,0.68007,0.90236,0.57244,1.3693,0.00076418,0.00076418,0.00076418
161,9572.84,0.77483,0.56077,1.25368,0.9522,0.79245,0.89771,0.68134,0.84693,0.55559,1.30966,0.000755582,0.000755582,0.000755582
162,9632.14,0.76872,0.56373,1.26325,0.90979,0.82075,0.89836,0.67502,0.87499,0.55791,1.34782,0.000746993,0.000746993,0.000746993
163,9691.5,0.77436,0.54417,1.25457,0.95515,0.79874,0.89263,0.68618,0.83975,0.5814,1.31568,0.000738414,0.000738414,0.000738414
164,9751.02,0.76468,0.54704,1.2566,0.89984,0.84752,0.90014,0.68131,0.86593,0.5611,1.33034,0.000729847,0.000729847,0.000729847
165,9810.4,0.75642,0.5505,1.24874,0.92549,0.83962,0.89873,0.68353,0.87467,0.56893,1.32599,0.000721292,0.000721292,0.000721292
166,9869.8,0.75229,0.5433,1.24284,0.90131,0.86161,0.89888,0.68353,0.8625,0.56477,1.31197,0.000712751,0.000712751,0.000712751
167,9929.29,0.76082,0.54839,1.25007,0.86863,0.84591,0.89916,0.68493,0.86194,0.5592,1.33339,0.000704223,0.000704223,0.000704223
168,9988.74,0.75789,0.5355,1.2413,0.90937,0.8519,0.90792,0.68999,0.84818,0.54747,1.30458,0.000695711,0.000695711,0.000695711
169,10048.1,0.75408,0.54204,1.24519,0.89241,0.86078,0.91207,0.69478,0.821,0.53602,1.28451,0.000687214,0.000687214,0.000687214
170,10107.6,0.74077,0.52925,1.23979,0.92702,0.83648,0.91823,0.70287,0.82179,0.53154,1.26646,0.000678735,0.000678735,0.000678735
171,10167.1,0.77003,0.54891,1.25996,0.90641,0.88323,0.91302,0.69177,0.85821,0.5146,1.31376,0.000670274,0.000670274,0.000670274
172,10226.6,0.74708,0.53398,1.24018,0.90631,0.84277,0.90412,0.68986,0.83065,0.53407,1.30445,0.000661831,0.000661831,0.000661831
173,10285.9,0.74488,0.53667,1.24133,0.90825,0.86478,0.90406,0.68543,0.86271,0.54507,1.33041,0.000653408,0.000653408,0.000653408
174,10345.4,0.75754,0.54609,1.25021,0.9028,0.87107,0.90615,0.68844,0.83655,0.55201,1.31754,0.000645006,0.000645006,0.000645006
175,10404.8,0.73394,0.53672,1.23786,0.92916,0.82496,0.90519,0.6865,0.84627,0.56445,1.31721,0.000636625,0.000636625,0.000636625
